,line,schedule,map,en-update,en-reason,es-update,es-reason,hy-update,hy-reason,zh-tw-update,zh-tw-reason,ko-update,ko-reason,ja-update,ja-reason,ru-update,ru-reason,vi-update,vi-reason
0,2,002_TT_12-10-23.pdf,,Minor changes to schedule.,Improve reliability.,Cambios menores en el horario.,Mejorar la fiabilidad.,"Minor timing changes, please check schedule.",Բարելավել հուսալիությունը:,"Minor timing changes, please check schedule.",提升可靠性。,"Minor timing changes, please check schedule.",안정성을 개선합니다.,"Minor timing changes, please check schedule.",信頼の向上に努めます。,"Minor timing changes, please check schedule.",Повысить надежность.,"Minor timing changes, please check schedule.",Cải thiện độ tin cậy.
1,4,004_TT_12-10-23.pdf,Line 4.png,Weekday schedules have been updated.,Improve reliability.,Se actualizaron los horarios entre semana.,Mejorar la fiabilidad.,Թարմացվել են աշխատանքային օրերերի ժամանակացույցերը։,Բարելավել հուսալիությունը:,平日時刻表已更新。,提升可靠性。,평일 일정이 업데이트되었습니다.,안정성을 개선합니다.,平日のスケジュールが更新されました。,信頼の向上に努めます。,Обновлены расписания на будние дни.,Повысить надежность.,Lịch trình các ngày thường trong tuần đã được cập nhật.,Cải thiện độ tin cậy.
2,10,010_TT_12-10-23.pdf,,Minor changes to schedule.,Align with ridership levels.,Cambios menores en el horario.,Adaptarse a los niveles de pasajeros,"Minor timing changes, please check schedule.",հարմարեցնել ուղևորությունների մակարդակների հետ:,"Minor timing changes, please check schedule.",配合載客量。,"Minor timing changes, please check schedule.",탑승객 수에 따른 조정 조치입니다.,"Minor timing changes, please check schedule.",利用者数に合わせるため。,"Minor timing changes, please check schedule.",скорректировать график движения в соответствии с пассажиропотоком.,"Minor timing changes, please check schedule.",Điều chỉnh cho phù hợp với lượng hành khách.
3,14,014_TT_12-10-23.pdf,,"Beverly Bl will have one weekday AM peak trip extended through Downtown
LA to Grand/Venice.",Accommodate increased ridership.,"Beverly Bl tendrá un viaje extendido en horas pico matutinas entre semana de Downtown
LA a Grand/Venice.",Satisfacer las demandas de una mayor cantidad de pasajeros,"Beverly Bl-ը կունենա աշխատանքային օրերին առավոտյան պիկ ժամերին մեկ ուղևորություն, որը երկարաձգվելու է Downtown
LA-ից մինչև Grand/Venice։",ապահովել ուղևորահոսքի ավելացում,"Beverly Bl將有一個平日上午尖峰時段的班次路線延伸穿過Downtown
LA至Grand/Venice。",因應增加的載客量。,"Beverly Bl에서 평일 오전 피크 시간대 운행편에 Downtown
LA를 거쳐 Grand/Venice까지 연장되는 운행편이 1회 증편됩니다.",탑승객 수 증가에 따른 조정 조치입니다.,"Beverly Blの平日午前ピーク時の1往復が、Downtown
LAを通ってGrand/Veniceまで延長されます。",利用者の増加に対応するため。,"Beverly Bl один рейс через Downtown
LA в Grand/Venice буде продлен в будни в утренний час пик.",обеспечить перевозку большего количества пассажиров.,"Beverly Bl sẽ có một chuyến vào giờ cao điểm buổi sáng trong các ngày thường kéo dài qua Downtown
LA tới Grand/Venice.",Đáp ứng lượng hành khách tăng cao.
4,16,016_TT_12-10-23.pdf,,Weekday schedules have been updated.,Improve reliability.,Se actualizaron los horarios entre semana.,Mejorar la fiabilidad.,Թարմացվել են աշխատանքային օրերերի ժամանակացույցերը։,Բարելավել հուսալիությունը:,平日時刻表已更新。,提升可靠性。,평일 일정이 업데이트되었습니다.,안정성을 개선합니다.,平日のスケジュールが更新されました。,信頼の向上に努めます。,Обновлены расписания на будние дни.,Повысить надежность.,Lịch trình các ngày thường trong tuần đã được cập nhật.,Cải thiện độ tin cậy.
5,18,018_TT_12-10-23.pdf,,"Weekday, Saturday, and Sunday schedules have been updated.",Improve reliability.,Se actualizaron los horarios entre semana y de los días sábados y domingos.,Mejorar la fiabilidad.,"Թարմացվել են աշխատանքային, շաբաթ և կիրակի օրերերի ժամանակացույցերը։",Բարելավել հուսալիությունը:,平日、週六和週日時刻表已更新。,提升可靠性。,"평일 및 토요일, 일요일 일정이 업데이트되었습니다.",안정성을 개선합니다.,平日、土曜日、日曜日のスケジュールが更新されました。,信頼の向上に努めます。,"Обновлены расписания на будние дни, субботы и воскресенья.",Повысить надежность.,"Lịch trình các ngày thường trong tuần, Thứ Bảy và Chủ Nhật đã được cập nhật.",Cải thiện độ tin cậy.
6,20,020_TT_12-10-23.pdf,,Minor changes to schedule.,Improve reliability.,Cambios menores en el horario.,Mejorar la fiabilidad.,"Minor timing changes, please check schedule.",Բարելավել հուսալիությունը:,"Minor timing changes, please check schedule.",提升可靠性。,"Minor timing changes, please check schedule.",안정성을 개선합니다.,"Minor timing changes, please check schedule.",信頼の向上に努めます。,"Minor timing changes, please check schedule.",Повысить надежность.,"Minor timing changes, please check schedule.",Cải thiện độ tin cậy.
7,28,028_TT_12-10-23.pdf,,"Additional trips scheduled in peak periods AM/PM extended to Century City, with one additional trip added eastbound weekday afternoons.",Accommodate increased ridership.,"Viajes adicionales programados en horas pico matutinas y vespertinas ampliados a Century City, con viajes adicionales agregados con dirección al este por la tarde, entre semana.",Satisfacer las demandas de una mayor cantidad de pasajeros,"Լրացուցիչ ուղևորությունները, որոնք նախատեսված են պիկ ժամանակահատվածներում, կեսօրից առաջ և հետո (AM/PM) երկարաձգվել են դեպի Century City, և մեկ այլ ուղևորություն դեպի արևելք է ավելացվել աշխատանքային օրվա կեսօրին:",ապահովել ուղևորահոսքի ավելացում։,預定上午/下午尖峰時段加開行駛路線延伸至Century City的班次，平日中午過後加開一班東向班次。,因應增加的載客量。,"피크 시간대의 추가 운행편은 Century City까지 연장 운행되며, 평일 오후 동부 방면으로 운행편이 1회 증편됩니다.",탑승객 수 증가에 따른 조정 조치입니다.,ピーク時（午前・午後）に運行される追加便がCentury Cityまで延長されます。,利用者の増加に対応するため。,"запланированы дополнительные рейсы в утренние и вечерние часы пик до Century City, а также добавлен еще один рейс в восточном направлении в будни по вечерам.",обеспечить перевозку большего количества пассажиров.,"Các chuyến bổ sung có lịch trình vào giờ cao điểm buổi sáng/chiều kéo dài đến Century City, trong đó có một chuyến bổ sung về phía đông vào buổi chiều các ngày thường.",Đáp ứng lượng hành khách tăng cao.
8,30,030_TT_12-10-23.pdf,,Weekday schedules have been updated.,Improve reliability.,Se actualizaron los horarios entre semana.,Mejorar la fiabilidad.,Թարմացվել են աշխատանքային օրերերի ժամանակացույցերը։,Բարելավել հուսալիությունը:,平日時刻表已更新。,提升可靠性。,평일 일정이 업데이트되었습니다.,안정성을 개선합니다.,平日のスケジュールが更新されました。,信頼の向上に努めます。,Обновлены расписания на будние дни.,Повысить надежность.,Lịch trình các ngày thường trong tuần đã được cập nhật.,Cải thiện độ tin cậy.
9,33,033_TT_12-10-23.pdf,,Additional trips scheduled eastbound after 10pm weeknights and weekends.,Accommodate increased ridership.,"Viajes adicionales programados con dirección al este después de las 10 p. m., entre semana por la noche y los fines de semana.",Satisfacer las demandas de una mayor cantidad de pasajeros,"Լրացուցիչ ուղևորությունները պլանավորվում են դեպի արևելք 22:00-ից հետո, շաբաթ և կիրակի օրերին:",ապահովել ուղևորահոսքի ավելացում։,預定平日晚上10點後及週末加開幾班東向班次。,因應增加的載客量。,평일 야간과 주말 오후 10시 이후로 동부 방면의 추가 운행편이 예정되어 있습니다.,탑승객 수 증가에 따른 조정 조치입니다.,平日夜10時以降および週末に東行き便が追加されます。,利用者の増加に対応するため。,добавлены рейсы в восточном направлении после 22:00 в будни и по выходным.,обеспечить перевозку большего количества пассажиров.,Các chuyến bổ sung được lên lịch đi về phía đông sau 10 giờ tối vào ngày thường và cuối tuần.,Đáp ứng lượng hành khách tăng cao.
