field,en-content,es-content,hy-content,tw-zh-content,ko-content,ja-content,ru-content,vi-content,
pageTitle,Service Updates,Actualizaciones de servicios,Ծառայության թարմացումներ,服務更新,서비스 업데이트,サービスアップデート,Обновления обслуживания,Cập Nhật Dịch Vụ,
pageSubtitle,"Coming June 23, 2024",A partir del 23 de junio de 2024,Ուժի մեջ է մտնում 2024 թվականի հունիսի 23-ից,2024年6月23日推出,2024년 6월 23일 예정,2024年6月23日予定,Изменения с 23 июня 2024 г.,Sẽ được áp dụng từ ngày 23 tháng 6 năm 2024,
introP1,"Starting June 23, 2024, Metro is making changes to bus service to provide more frequent and reliable trips to get riders where they need to go, when they need to go.","A partir del 23 de junio de 2024, Metro realizará cambios en el servicio de autobús para brindar viajes más frecuentes y confiables para llevar a los pasajeros a donde necesitan ir, cuando lo necesitan.","2024 թվականի հունիսի 23-ից Metro-ն փոփոխություններ է կատարում ավտոբուսային ծառայությունների սպասարկման շրջանակներում, որպեսզի ապահովի ավելի հաճախակի և հուսալի ուղևորություններ՝ ուղևորներին ժամանակին հասցնելու համար այնտեղ, որտեղ կցանկանան:",2024年6月23日起，Metro將變更巴士服務，以提供更頻繁且可靠的班次讓乘客在需要的時間前往所需之處。,2024년 6월 23일부터 Metro는 승객이 이동할 곳과 필요할 때 이동해야 하는 시간을 안내할 수 있도록 더 자주 안정적인 운행 서비스를 제공하기 위해 버스 운행 서비스를 변경하고 있습니다.,利用者が必要な時に必要な場所へ行けるよう、より頻繁で信頼性の高い運行を提供するために、Metroは 2024年6月23日よりバスの運行サービスの変更を行います。,"С 23 июня 2024 г. Metro вносит изменения в автобусное сообщение, чтобы обеспечить более частые и надежные рейсы, позволяющие пассажирам своевременно добираться до пунктов назначения.","Bắt đầu từ ngày 23 tháng 6 năm 2024, Metro sẽ thực hiện các thay đổi đối với dịch vụ xe buýt để cung cấp các chuyến đi thường xuyên và đáng tin cậy hơn nhằm đưa hành khách đến nơi cần đến vào thời điểm cần đến.",
introP2,Download a PDF summary of the latest updates in:,Descargue un resumen en PDF de las últimas actualizaciones de servicios en los siguientes idiomas:,Ներբեռնեք ծառայության վերջին թարմացումների PDF ամփոփագիրը հետևյալ լեզուներով.,您可下載以下語言的最新服務更新PDF摘要：,다음 언어로 최신 서비스 업데이트의 PDF 요약본을 다운로드하세요.,最新のサービスアップデートの概要は、次の言語でPDFをダウンロードすることができます。,Загрузите PDF-сводку последних обновлений на таких языках:,Tải xuống bản tóm tắt ở định dạng PDF về các cập nhật dịch vụ mới nhất có sẵn bằng các ngôn ngữ sau:,
download,Download,Descargar,Բեռնել,下載,다운로드,ダウンロード,Скачать,Tải xuống,
lineListTitle,These lines have updates:,Las siguientes líneas de autobús cuentan con actualizaciones de servicio:,Այս ավտոբուսային գծերն ունեն սպասարկման թարմացումներ.,以下巴士路線有服務更新：,이 버스 노선에 다음과 같은 서비스 업데이트 사항이 있습니다.,サービスアップデートのあるバスライン：,На этих автобусных маршрутах обновлены расписания:,Những tuyến xe buýt sau đã được cập nhật dịch vụ:,
update,Update:,Actualización:,Թարմացում․,更新：,업데이트:,アップデート：,Обновление:,Cập nhật:,
reason,Reason:,Motivo:,Պատճառը․,原因：,사유:,理由：,Причина:,Lý do:,
schedule,New schedule,Nuevo horario,Նոր ժամանակացույց․,新的時刻表,신규 일정,新スケジュール,Новое расписание,Lịch trình mới,
map,See Map,Consultar mapa,Տե՛ս Քարտեզը,查看地圖,지도 보기,地図を見る,Посмотреть карту,Xem Bản Đồ,
privacy,Privacy Policy,Política de privacidad,Գաղտնիության քաղաքականություն,隱私權政策,개인정보 처리방침,プライバシーポリシー,Политика конфиденциальности,Chính Sách Quyền Riêng Tư,
terms,Terms of Use,Términos de uso,Օգտվելու կանոններ,使用條款,이용약관,利用規約,Условия использования,Điều Khoản Sử Dụng,
contact,Contact Us,Contáctenos,Կապ մեզ հետ,聯絡我們,문의,お問い合わせ,Связаться с нами,Liên Hệ Với Chúng Tôi,
translate,Translate,Traducir,Թարգմանել,翻譯,번역,翻訳,Перевести,Dịch,
takeone_label_en,English,Español (Spanish),հայերեն (Armenian),中文 (Chinese Traditional),한국어 (Korean),日本語 (Japanese),русский (Russian),Tiếng Việt (Vietnamese),
takeone_label_es,English,Español (Spanish),հայերեն (Armenian),中文 (Chinese Traditional),한국어 (Korean),日本語 (Japanese),русский (Russian),Tiếng Việt (Vietnamese),
