line,schedule,map,en-update,en-reason,es-update,es-reason,arm-update,arm-reason,chi-update,chi-reason,ko-update,ko-reason,ja-update,ja-reason,ru-update,ru-reason,vi-update,vi-reason
20,,,"All Line 20 eastbound trips that start from Veteran Av south of Wilshire Bl at Westwood will be altered to travel via Veteran Av, right Santa Monica Bl, right Sepulveda Bl, right Wilshire Bl and usual route to downtown LA. No change to westbound trips. At Santa Monica, all trips westbound will use 7th St instead of Lincoln Bl.",Buses will no longer be allowed to travel through the federal GSA building grounds. Using 7th St at Santa Monica will avoid the delays being experienced due to construction on Lincoln Bl.,,Reason,,,,,,,,,,,,
30,,,Adjust peak weekday frequency from every 7-8 minutes to every 10 minutes. Adjust daytime Saturday and Sunday frequency from every 10 minutes to every 15 minutes.,"To match service level with ridership levels, as planned in NextGen Bus Plan. Hours of service reallocated to improvements on other lines.",,,,,,,,,,,,,,
35,,,"The 12:08am trip westbound from 7th & Maple to Washington/Fairfax weekdays, Saturdays and Sundays will be discontinued (last trip westbound will be 11:08pm). The 4:40am trip eastbound Saturdays and Sundays from Washington/Fairfax to downtown LA will be discontinued (first trip eastbound will be at 5:20am). ",Very low ridership. Reallocate service hours to improvements on other lines.,,,,,,,,,,,,,,
38,,,"The 12:12am trip westbound from Spring/7th to Jefferson/10th and return trip at 12:42am from Jefferson/10th to Spring/7th weekdays, Saturdays and Sundays will be discontinued (last trip westbound will be 11:12pm; last trip eastbound will be 11:30pm). The 5:07am trip westbound Saturdays and Sundays from Broadway/Venice to Washington/Fairfax will be discontinued (first trip westbound will then be at 5:47am).",Very low ridership. Reallocate service hours to improvements on other lines.,,,,,,,,,,,,,,
76,,,"Line 76 route will be modified in downtown LA to operate directly via Main St, Alameda St and 1st St, to provide direct access to the Little Tokyo/Arts District A & E Line Station. Line 76 will continue to serve Union Station on Alameda St, but will no longer travel via Spring St, Cesar Chavez Av, Vignes St or southbound via Chinatown Station. Eastbound the new routing will include a short segment of Central Av and 2nd St to reach Alameda St. ",Achieve faster access to/from downtown LA and new direct connectivity with the Little Tokyo/Arts District Station.,,,,,,,,,,,,,,
81,,,"Line 81 will be relocating its northern terminal at Eagle Rock Plaza from eastbound on Colorado Bl at Eagle Dale Av to westbound Colorado Bl at Eagle Dale Av. On departing southbound, Line 81 buses will travel clockwise westbound via Colorado Bl, right Verdugo Rd, right Broadway, left Colorado Bl and regular route southbound. There are no other changes to the route for Line 81.",To accommodate Line 217 extension to Eagle Rock Plaza at the Colorado & Eagle Dale terminal. ,,,,,,,,,,,,,,
96,,,This line will now be operated by Southland Transit instead of Transdev. No change to route or schedule.,Transdev will no longer contract with Metro for bus service operations.,,,,,,,,,,,,,,
108,,,Line 108 trips that start and end at City of Commerce (Eastern Av) will have that terminus moved slightly north to Eastern Av northbound approaching Harbor St.,To accommodate City of Commerce converting Eastern Av into a multi-lane road.,,,,,,,,,,,,,,
120,,,Adjust weekday service frequency after 12pm from every 40 to every 45 minutes.,To improve reliability and reduce customer wait times through more accurate schedules.,,,,,,,,,,,,,,
127,,,"Revise schedule daytime weekdays, Saturdays and Sundays to replace the pattern of alternating trips between Harbor Freeway Station – Compton Station and Harbor Freeway Station – Downey with all daytime trips operating between Harbor Freeway Station – Compton Station – Downey every 30 minutes weekdays and every 40 minutes Saturdays and Sundays. Last trips weeknights, Saturdays and Sundays will be eastbound from Harbor Freeway Station at 11:59pm and westbound from Compton Station at 11:20pm. The 12:40am eastbound trip from Harbor Freeway Station and the 11:59pm westbound trip from Compton Station will be discontinued. Also, weekdays, Saturdays and Sundays the 4:33am eastbound trip from Harbor Freeway Station and the 4:44am westbound trip from Compton Station will be discontinued.",To promote increased ridership by extending all daytime trips to Downey. Discontinued trips had very low ridership.,,,,,,,,,,,,,,
