line,schedule,map,en-update,en-reason,es-update,es-reason,hy-update,hy-reason,zh-tw-update,zh-tw-reason,ko-update,ko-reason,ja-update,ja-reason,ru-update,ru-reason,vi-update,vi-reason
40,,40_117_LAXMTC.png,"Line 117 and 40 Owl will be extended to the new LAX/Metro Transit Center, offering access to the same bus lines as well as the Metro C and K Lines.",To connect to the new LAX/Metro Transit Center Station,"Las líneas 117 y 40 Owl se extenderán hasta el nuevo LAX/Metro Transit Center, ofreciendo acceso a las mismas líneas de autobús, así como a las líneas C y K de Metro.",Para conectarse a la nueva estación LAX/Metro Transit Center,"2025 թվականի հունիսի 6-ի ժամը 17:00-ից սկսած՝ Owl-ի 117-րդ և 40-րդ երթուղիները կընդլայնվեն մինչև LAX/Metro նոր տրանզիտային կենտրոնը՝ ապահովելով հասանելիություն ավտոբուսների նույն երթուղիներին, ինչպես նաև Մետրոյի C և K երթուղիներին։",LAX/Metro տրանզիտային կենտրոնի նոր կայարանին միանալու համար։,,,,,2025年6月6日午後5時より、117系統および40 Owl系統は新しい LAX/Metro Transit Center まで延伸され、同じバス路線に加え、Metro C線およびK線へのアクセスも提供されます。,新しい LAX/Metro Transit Center Station への接続のための対応です。,,,,
102,,102_LAXMTC.png,"Line 102 will be extended to the new LAX/Metro Transit Center, offering access to the same bus lines as well as the Metro C and K Lines. Adjusted Saturday and Sunday schedules. In addition, a pair of low productivity stops will be discontinued.",To connect to the new LAX/Metro Transit Center Station. For improved reliability better reflecting actual travel times and will better align with Metro's stop spacing guidelines.,"La línea 102 se extenderá hasta el nuevo LAX/Metro Transit Center, ofreciendo acceso a las mismas líneas de autobús, así como a las líneas C y K de Metro. Se ajustarán los horarios de los sábados y domingos. Además, se descontinuarán dos paradas de baja productividad.","Para conectarse a la nueva estación LAX/Metro Transit Center. Para mejorar la confiabilidad, reflejar mejor los tiempos de viaje reales y alinearse mejor con las pautas de espaciado entre paradas de Metro.","Աշխատանքային օրերի, շաբաթ և կիրակի օրերի կարգավորված ժամանակացույցներ։։ Բացի այդ, ցածր արդյունավետություն ունեցող երկու կանգառների գործունեությունը կդադարեցվի։","Ավելի մեծ հուսալիություն ապահովելու, ուղևորությունների փաստացի տևողությունն արտացոլելու նպատակով և ավելի ճշգրտորեն կհամապատասխանեն Մետրոյի կանգառների միջև հեռավորության ուղեցույցներին։",,,,,,,,,,
111,,111_LAXMTC.png,"Line 111 will be shortened to serve the new LAX/Metro Transit Center, offering access to the same bus lines as well as the Metro C and K Lines.",To connect to the new LAX/Metro Transit Center Station,"La línea 111 se acortará para dar servicio al nuevo LAX/Metro Transit Center, ofreciendo acceso a las mismas líneas de autobús, así como a las líneas C y K de Metro.",Para conectarse a la nueva estación LAX/Metro Transit Center,"2025 թվականի հունիսի 6-ի ժամը 17:00-ից սկսած՝ 111-րդ երթուղին կկրճատվի, որպեսզի սպասարկի LAX/Metro տրանզիտային կենտրոնին՝ ապահովելով հասանելիություն ավտոբուսների նույն երթուղիներին, ինչպես նաև Մետրոյի C և K երթուղիներին։",LAX/Metro տրանզիտային կենտրոնի նոր կայարանին միանալու համար։,,,,,2025年6月6日午後5時より、111系統は新しい LAX/Metro Transit Center を終点とするルートに短縮され、同じバス路線に加え、Metro C線およびK線へのアクセスも提供されます。,新しい LAX/Metro Transit Center Station への接続のための対応です。,,,,
117,,40_117_LAXMTC.png,"Line 117 and 40 Owl will be extended to the new LAX/Metro Transit Center, offering access to the same bus lines as well as the Metro C and K Lines.",To connect to the new LAX/Metro Transit Center Station,"Las líneas 117 y 40 Owl se extenderán hasta el nuevo LAX/Metro Transit Center, ofreciendo acceso a las mismas líneas de autobús, así como a las líneas C y K de Metro.",Para conectarse a la nueva estación LAX/Metro Transit Center,"2025 թվականի հունիսի 6-ի ժամը 17:00-ից սկսած՝ Owl-ի 117-րդ և 40-րդ երթուղիները կընդլայնվեն մինչև LAX/Metro նոր տրանզիտային կենտրոնը՝ ապահովելով հասանելիություն ավտոբուսների նույն երթուղիներին, ինչպես նաև Մետրոյի C և K երթուղիներին։",LAX/Metro տրանզիտային կենտրոնի նոր կայարանին միանալու համար։,,,,,2025年6月6日午後5時より、117系統および40 Owl系統は新しい LAX/Metro Transit Center まで延伸され、同じバス路線に加え、Metro C線およびK線へのアクセスも提供されます。,新しい LAX/Metro Transit Center Station への接続のための対応です。,,,,
120,,120_LAXMTC.png,"Line 120 will be extended to the new LAX/Metro Transit Center, offering access to the same bus lines as well as the Metro C and K Lines.",To connect to the new LAX/Metro Transit Center Station,"La línea 120 se extenderá hasta el nuevo LAX/Metro Transit Center, ofreciendo acceso a las mismas líneas de autobús, así como a las líneas C y K de Metro.",Para conectarse a la nueva estación LAX/Metro Transit Center,"2025 թվականի հունիսի 6-ի ժամը 17:00-ից սկսած՝ Owl-ի 120-րդ երթուղին կընդլայնվի մինչև LAX/Metro նոր տրանզիտային կենտրոնը՝ ապահովելով հասանելիություն ավտոբուսների նույն երթուղիներին, ինչպես նաև Մետրոյի C և K երթուղիներին։",LAX/Metro տրանզիտային կենտրոնի նոր կայարանին միանալու համար։,,,,,2025年6月6日午後5時より、120系統は新しい LAX/Metro Transit Center まで延伸され、同じバス路線に加え、Metro C線およびK線へのアクセスも提供されます。,新しい LAX/Metro Transit Center Station への接続のための対応です。,,,,
232,,232_LAXMTC.png,"Line 232 will be extended to the new LAX/Metro Transit Center, offering access to the same bus lines as well as the Metro C and K Lines.",To connect to the new LAX/Metro Transit Center Station,"La línea 232 se extenderá hasta el nuevo LAX/Metro Transit Center, ofreciendo acceso a las mismas líneas de autobús, así como a las líneas C y K de Metro.",Para conectarse a la nueva estación LAX/Metro Transit Center,"2025 թվականի հունիսի 6-ի ժամը 17:00-ից սկսած՝ Owl-ի 232-րդ երթուղին կընդլայնվի մինչև LAX/Metro նոր տրանզիտային կենտրոնը՝ ապահովելով հասանելիություն ավտոբուսների նույն երթուղիներին, ինչպես նաև Մետրոյի C և K երթուղիներին։",LAX/Metro տրանզիտային կենտրոնի նոր կայարանին միանալու համար։,,,,,2025年6月6日午後5時より、232系統は新しい LAX/Metro Transit Center まで延伸され、同じバス路線に加え、Metro C線およびK線へのアクセスも提供されます。,新しい LAX/Metro Transit Center Station への接続のための対応です。,,,,
857,,857_LAXMTC.png,"The C & K Line Link 857 will be discontinued at the end of service on June 6, 2025. The LAX/Metro Transit Center Station will allow riders to connect between C & K Lines.",Due to LAX/Metro Transit Center Station opening,"El C & K Line Link, línea 857, se suspenderá al final del servicio el 6 de junio de 2025. La estación LAX/Metro Transit Center permitirá a los pasajeros conectarse entre las líneas C y K.",Debido a la apertura de la estación LAX/Metro Transit Center,"""C և K երթուղիները միացնող 857-րդ երթուղին կդադարեցվի 2025 թ. հունիսի 6-ին սպասարկման ավարտից հետո։ LAX/Metro տրանզիտային կենտրոնի կայարանը թույլ կտա ուղևորներին միանալ C և K երթուղիների միջեւ։ """,LAX/Metro տրանզիտային կենտրոնի կայարանի բացման պատճառով։,,,,,C & K Line Link 857は、2025年6月6日の運行終了をもって廃止されます。LAX/Metro Transit Center Stationにより、C線とK線の乗り換えが可能となります。,LAX／メトロLAX/Metro Transit Center Station の開業に伴う対応です。・トランジット・センター駅の開業。,,,,
2,,,"Travel time adjustments will be made Weekday, Saturday, and Sunday. Adjusted Weekday, Saturday and Sunday schedules and a pair of low productivity stops will be discontinued.",For improved reliability better reflecting actual travel times and will better align with Metro's stop spacing guidelines. Savings reallocated to other improvements.,"Se ajustarán los horarios de los días laborables, sábados y domingos. Se descontinuarán los horarios ajustados de los días laborables, sábados y domingos, y se suspenderán dos paradas de baja productividad.","Para mejorar la confiabilidad, reflejará mejor los tiempos de viaje reales y se alineará mejor con las pautas de espaciado de paradas de autobús de Metro. Los ahorros se reasignarán a otras mejoras.","Ուղևորությունների տևողության կարգավորումներ կկատարվեն աշխատանքային օրերի, շաբաթ և կիրակի օրերի համար։ Աշխատանքային օրերի, շաբաթ և կիրակի օրերի կարգավորված ժամանակացույցները, ինչպես նաև ցածր արդյունավետություն ունեցող երկու կանգառների գործունեությունը կդադարեցվի։","Ավելի մեծ հուսալիություն ապահովելու, ուղևորությունների փաստացի տևողությունն արտացոլելու նպատակով, ինչպես նաև ավելի ճշգրտորեն համապատասխանելու Մետրոյի կանգառների միջև հեռավորության ուղեցույցներին։ Խնայողությունները կուղղվեն այլ բարեփոխումների։",,,,,,,,,,
4,,,"Travel time adjustments will be made Weekday, Saturday, and Sunday. Adjusted Weekday, Saturday and Sunday schedules and a pair of low productivity stops will be discontinued.",For improved reliability better reflecting actual travel times and will better align with Metro's stop spacing guidelines. Savings reallocated to other improvements.,"Se ajustarán los horarios de los días laborables, sábados y domingos. Se descontinuarán los horarios ajustados de los días laborables, sábados y domingos, y se suspenderán dos paradas de baja productividad.","Para mejorar la confiabilidad, reflejará mejor los tiempos de viaje reales y se alineará mejor con las pautas de espaciado de paradas de autobús de Metro. Los ahorros se reasignarán a otras mejoras.","Ուղևորությունների տևողության կարգավորումներ կկատարվեն աշխատանքային օրերի, շաբաթ և կիրակի օրերի համար։ Աշխատանքային օրերի, շաբաթ և կիրակի օրերի կարգավորված ժամանակացույցները, ինչպես նաև ցածր արդյունավետություն ունեցող երկու կանգառների գործունեությունը կդադարեցվի։","Ավելի մեծ հուսալիություն ապահովելու, ուղևորությունների փաստացի տևողությունն արտացոլելու նպատակով, ինչպես նաև ավելի ճշգրտորեն համապատասխանելու Մետրոյի կանգառների միջև հեռավորության ուղեցույցներին։ Խնայողությունները կուղղվեն այլ բարեփոխումների։",,,,,,,,,,
10,,,"Travel time adjustments will be made Weekday, Saturday, and Sunday. In addition, adjusted Saturday and Sunday schedules with a reduction of a small number of trips.",For improved reliability better reflecting actual travel times and ridership. Savings reallocated to other improvements.,"Se ajustarán los horarios de viaje entre semana, sábados y domingos. Además, se ajustarán los horarios de los sábados y domingos, con una pequeña reducción en el número de viajes.","Para mejorar la confiabilidad, reflejando mejor los tiempos de viaje reales y el número de pasajeros. Los ahorros se reasignan a otras mejoras.","Ուղևորությունների տևողության կարգավորումներ կկատարվեն աշխատանքային օրերի, շաբաթ և կիրակի օրերի համար։ Ի հավելումն, կլինեն շաբաթ և կիրակի օրերի կարգավորված ժամանակացույցներ, և կկրճատվեն փոքր քանակությամբ ուղերթեր։","Ավելի մեծ հուսալիություն ապահովելու, ուղևորությունների փաստացի տևողությունը և ուղևորահոսքն արտացոլելու նպատակով։ Խնայողությունները կուղղվեն այլ բարեփոխումների։",,,,,,,,,,
