,field,en-content,es-content,hy-content,zh-tw-content,ko-content,ja-content,ru-content,vi-content
0,titlebar,,,,,,,,
1,pageTitle,Service Updates,Actualizaciones de servicios,Ծառայության թարմացումներ,服務更新,서비스 업데이트,サービスアップデート,Обновления обслуживания,Cập Nhật Dịch Vụ
2,pageSubtitle,"Coming June 25, 2023",A partir del 25 de junio de 2023,Ուժի մեջ է մտնում 2023 թվականի հունիսի 25-ից,2023年6月25日,2023년 6월 25일 예정,2023年6月25日,С 25 июня 2023 г.,Sẽ được áp dụng từ ngày 25 tháng 6 năm 2023
3,introP1,"The theme of our latest Metro bus and rail service update is reliability. 65 weekday, 43 Saturday, 42 Sunday bus schedules have been updated to improve reliability. B/D subway schedules will also be updated.","El objetivo de nuestra última actualización de los servicios de autobús y tren de Metro es la fiabilidad, la fiabilidad y la fiabilidad. Se actualizaron 65 horarios de autobús entre semana, 43 los sábados y 42 los domingos para mejorar la fiabilidad. También se actualizarán los horarios del metro B/D.","Մեր վերջին Metro ավտոբուսների և երկաթուղային ծառայությունների թարմացման թեման հուսալիություն, հուսալիություն, հուսալիություն է: 65 աշխատանքային օր, 43 շաբաթ օր, 42 կիրակի ավտոբուսների ժամանակացույցերը թարմացվել են հուսալիությունը բարելավելու համար: Կթարմացվեն նաև B/D մետրոյի ժամանակացույցերը:",我們最新的Metro巴士和鐵路服務更新主題可靠性十足。我們已更新65個平日時刻表、43個週六時刻表和42個週日時刻表，以提升可靠性。B/D地鐵時刻表也將更新。,"최신 Metro 버스 및 철도 서비스 업데이트의 테마는 바로 첫째도 안정성, 둘째도 안정성, 셋째도 안정성입니다. 안정성을 개선하고자 주중 65편, 토요일 43편, 일요일 42편의 버스 일정이 업데이트되었습니다. B/D 지하철 일정도 업데이트될 예정입니다.",最近行っているMetroバスと鉄道のサービスアップデートのテーマはとにかく信頼の向上です。平日65本、土曜日43本、日曜日42本のバスの運航スケジュールを変更し、信頼の向上に努めています。地下鉄B/D線のスケジュールも更新される予定です。,"Тема нашего последнего обновления автобусного и железнодорожного сообщения Metro — надежность, надежность и еще раз надежность. Для повышения надежности были обновлены 65 расписаний движения автобусов по будням, 43 расписания по субботам и 42 расписания по воскресеньям. Также будут обновлены расписания линий метро B/D.","Độ tin cậy là trọng tâm trong lần cập nhật dịch vụ xe buýt và đường sắt Metro mới nhất của chúng tôi. 65 lịch trình các ngày thường trong tuần, 43 lịch trình Thứ Bảy và 42 lịch trình Chủ Nhật đối với xe buýt đã được cập nhật để cải thiện độ tin cậy. Lịch trình tàu điện ngầm B/D cũng sẽ được cập nhật."
4,introP2,Download a PDF summary of the latest updates in:,Descargue un resumen en PDF de las últimas actualizaciones de servicios en los siguientes idiomas:,Ներբեռնեք ծառայության վերջին թարմացումների PDF ամփոփագիրը հետևյալ լեզուներով.,您可下載以下語言的最新服務更新PDF摘要：,다음 언어로 최신 서비스 업데이트의 PDF 요약본을 다운로드하세요.,最新のサービスアップデートの概要は、次の言語でPDFをダウンロードすることができます。,Загрузите PDF-сводку последних обновлений на таких языках:,Tải xuống bản tóm tắt ở định dạng PDF về các cập nhật dịch vụ mới nhất có sẵn bằng các ngôn ngữ sau:
5,download,Download,Descargar,Բեռնել,下載,다운로드,ダウンロード,Скачать,Tải xuống
6,lineListTitle,These lines have updates:,Las siguientes líneas de autobús cuentan con actualizaciones de servicio:,Այս ավտոբուսային գծերն ունեն սպասարկման թարմացումներ.,以下巴士路線有服務更新：,이 버스 노선에 다음과 같은 서비스 업데이트 사항이 있습니다.,サービスアップデートのあるバスライン：,На этих автобусных маршрутах обновлены расписания:,Những tuyến xe buýt sau đã được cập nhật dịch vụ:
7,update,Update:,Actualización:,Թարմացում․,更新：,업데이트:,アップデート：,Обновление:,Cập nhật:
8,reason,Reason:,Motivo:,Պատճառը․,原因：,사유:,理由：,Причина:,Lý do:
9,schedule,New schedule,Nuevo horario,Նոր ժամանակացույց․,新的時刻表,신규 일정,新スケジュール,Новое расписание,Lịch trình mới
10,map,See Map,Consultar mapa,Տե՛ս Քարտեզը,查看地圖,지도 보기,地図を見る,Посмотреть карту,Xem Bản Đồ
11,privacy,Privacy Policy,Política de privacidad,Գաղտնիության քաղաքականություն,隱私權政策,개인정보 처리방침,プライバシーポリシー,Политика конфиденциальности,Chính Sách Quyền Riêng Tư
12,terms,Terms of Use,Términos de uso,Օգտվելու կանոններ,使用條款,이용약관,利用規約,Условия использования,Điều Khoản Sử Dụng
13,contact,Contact Us,Contáctenos,Կապ մեզ հետ,聯絡我們,문의,お問い合わせ,Связаться с нами,Liên Hệ Với Chúng Tôi
14,translate,Translate,Traducir,Թարգմանել,翻譯,번역,翻訳,Перевести,Dịch
15,languages,Languages,,,,,,,
16,backToTop,Back to top,,,,,,,
17,selectLanguage,Select Language,,,,,,,
