line,schedule,line_label,description
2,002_TT_06-25-23.pdf,2,Westwood to USC
4,004_TT_06-25-23.pdf,4,Santa Monica to Downtown LA
10,010_TT_06-25-23.pdf,10,West Hollywood to Avalon Station
14,014_TT_06-25-23.pdf,14,Cedars Sinai Medical Center to Washington/Fairfax
16,016_TT_06-25-23.pdf,16,West Hollywood to Downtown LA
18,018_TT_06-25-23.pdf,18,Wilshire/Western Station to Montebello Metrolink Station
20,020_TT_06-25-23.pdf,20,Westwood/Santa Monica to Downtown LA
28,028_TT_06-25-23.pdf,28,Century City to Downtown LA
30,030_TT_06-25-23.pdf,30,Pico Rimpau Transit Center to Indiana Station
33,033_TT_06-25-23.pdf,33,Santa Monica to Downtown LA
40,040_TT_06-25-23.pdf,40,South Bay/Redondo Beach Transit Center to Downtown LA
45,045_TT_06-25-23.pdf,45,Harbor Freeway Station to Lincoln Heights
51,051_TT_06-25-23.pdf,51,CSU Dominguez Hills to Westlake/MacArthur Park Station
53,053_TT_06-25-23.pdf,53,CSU Dominguez Hills to Downtown LA
55,055_TT_06-25-23.pdf,55,Willowbrook/Rosa Parks Station to Downtown LA
60,060_TT_06-25-23.pdf,60,Artesia Station to Downtown LA
62,062_TT_06-25-23.pdf,62,Hawaiian Gardens to Downtown LA
66,066_TT_06-25-23.pdf,66,Wilshire Center to Montebello Metrolink Station
70,070_TT_06-25-23.pdf,70,Downtown LA to El Monte
76,076_TT_06-25-23.pdf,76,Downtown LA to El Monte
78,078_TT_06-25-23.pdf,78,Downtown LA to Arcadia
81,081_TT_06-25-23.pdf,81,Eagle Rock to Harbor Freeway Station
90,090_TT_06-25-23.pdf,90,Downtown LA to North Hollywood
92,092_TT_06-25-23.pdf,92,Downtown LA to Sylmar Station
94,094_TT_06-25-23.pdf,94,Downtown LA to North Hollywood
102,102_TT_06-25-23.pdf,102,LAX City Bus Center to South Gate
106,106_TT_06-25-23.pdf,106,Monterey Park to Montebello
108,108_TT_06-25-23.pdf,108,Marina Del Rey to Pico Rivera
110,110_TT_06-25-23.pdf,110,Playa Vista to Bell Gardens
111,111_TT_06-25-23.pdf,111,LAX City Bus Center to Norwalk Station
115,115_TT_06-25-23.pdf,115,Playa Del Rey to Norwalk
120,120_TT_06-25-23.pdf,120,Aviation/LAX Station to Whittwood Center
128,128_TT_06-25-23.pdf,128,Compton Station to Cerritos Towne Center
