line,update,reason,map,
2,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,,
4,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,,
10,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,,
14,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,,
16,Line 16 will extend east to Alameda St. in Downtown LA via 6th St. (eastbound) and 5th St. (westbound).,Improve convenience for riders,Line 16.png,
16,Line 16 will see increased service every 15 mins between 10pm-midnight weekdays and weekends going eastbound.,High ridership,,
16,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,,
18,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,,
20,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,,
28,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,,
30,All trips on Line 30 will operate weekdays and weekends between Little Tokyo and Pico Rimpau Transit Center.,Compliment new Regional Connector,,
30,Line 30 trips will no longer operate east of Little Tokyo to Union Station or Indiana Station. Line 106 will still serve 1st St. between Indiana Station and Little Tokyo.,Compliment new Regional Connector,Line 30.jpg,
30,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,,
33,Weekday schedules have been updated.,Improved reliability,Line 33.jpg,
40,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,,
45,Weekday schedules have been updated.,Improved reliability,,
51,Line 51 trips starting/ending in Downtown LA will include stops as far west as 7th/Bixel St.,Operational improvements,,
51,Weekday schedules have been updated.,Improved reliability,,
51,"Minor Saturday frequency changes, please check schedule.",Align with ridership levels,,
53,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,,
55,Weekday schedules have been updated.,Improved reliability,,
60,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,,
62,Sunday schedules have been updated.,Improved reliability,,
66,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,,
70,Weekday schedules have been updated.,Improved reliability,,
76,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,,
78,Line 78 adjusted to operate every 20 minutes on weekends,Align with ridership levels,,
78,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,,
81,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,,
90,Weekday schedules have been updated.,Improved reliability,,
92,All trips on Line 92 between 9am-6pm weekdays will be extended to serve the Burbank-Sylmar segment. Service on that segment will be increased to operate every 20 minutes.,More access,,
92,New stop on Line 92 added southbound on Spring St nearside 6th St.,Improve access to Downtown LA,,
94,Weekday and Saturday schedules have been updated.,Improved reliability,,
102,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,,
106,Weekday schedules have been updated.,Improved reliability,,
108,Saturday schedules have been updated.,Improved reliability,,
110,Weekday schedules have been updated.,Improved reliability,,
111,"Line 111 will now travel to/from LAX City Bus Center via Arbor Vitae and Jetway, no longer serving 96th St. and Airport Bl.",Construction,Line 111.png,
111,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,,
115,"Line 115 buses will turn around at Playa Del Rey via Vista Del Mar, Pacific Av, and Culver Bl.",Construction completed,,
120,Weekday schedules have been updated.,Improved reliability,,
128,Saturday and Sunday schedules have been updated.,Improved reliability,,
134,Saturday and Sunday schedules have been updated.,Improved reliability,,
150,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,,
152,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,,
155,Weekday schedules have been updated.,Improved reliability,,
161,Weekday schedules have been updated.,Improved reliability,,
162,Weekday schedules have been updated.,Improved reliability,,
164,"Minor weekday frequency changes, please check schedule.",Align with ridership levels,,
166,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,,
167,Weekday schedules have been updated.,Improved reliability,,
169,Weekend service on Line 169 will extend beyond Saticoy St/Topanga Canyon Bl to Canoga Station.,Improve weekend access,,
169,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,,
177,New terminus for Line 177 on Wilson Av northbound near Del Mar Bl.,Move away from residential buildings,Line 177.jpg,
177,Weekday schedules have been updated.,Improved reliability,,
179,Late evening trips on Line 179 via Huntington Dr extended to match daytime trips.,Improve late evening service,Line 179.jpg,
179,"Minor weekday frequency changes, please check schedule.",Align with ridership levels,,
180,Westbound stop at Broadway/Artsakh is being discontinued. Alternative stops are located at Broadway/Louise and Brand/Broadway.,Improve bus turning safety,Line 180.jpg,
180,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,,
182,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,,
205,Last southbound trip on Line 205 extended to San Pedro weekdays and weekends.,Improve late night access to San Pedro,,
205,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,,
206,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,,
207,Weekday schedules have been updated.,Improved reliability,,
207,"Minor Saturday and Sunday frequency changes, please check schedule.",Align with ridership levels,,
210,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,,
211,Weekday schedules have been updated.,Improved reliability,,
212,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,,
215,Weekday schedules have been updated.,Improved reliability,,
217,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,,
232,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,,
233,"Minor weekday frequency changes, please check schedule.",Align with ridership levels,,
234,"Minor weekday, Saturday, and Sunday frequency changes, please check schedule.",Align with ridership levels,,
235,Weekday schedules have been updated.,Improved reliability,,
236,Weekday and Saturday schedules have been updated.,Improved reliability,,
240,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,,
242,Weekday schedules have been updated.,Improved reliability,,
243,Weekday schedules have been updated.,Improved reliability,,
244,Weekday schedules have been updated.,Improved reliability,,
246,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,,
251,Frequencies on Line 251 adjusted to every 10 minutes weekdays and every 15 minutes weekends.,Align with ridership levels,,
251,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,,
256,"The Line 256 segment between Highland Park Station and Rose Hill Transit Center will be discontinued. Instead, Metro Micro will serve the segment on Collis Av/Ave 60 and Line 665 will serve the segment from CalState LA to Rose Hill Transit Center with expanded hours of service.",Align with ridership levels,Line 256.jpg,
256,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,,
258,"At the CalState LA Transit Center, Line 258 will be reassigned to Bay 2, sharing this bay with Line 665.",Montebello Bus Line 10 extension to CalState LA,Line 258.jpg,
260,Weekday schedules have been updated.,Improved reliability,,
265,Weekday schedules have been updated.,Improved reliability,,
267,"Line 267 will extend north from Del Mar Station to Raymond & Walnut to connect with Lines 180, 256, LADOT Commuter Express 549, and the Memorial Park Station.",Improved connections,Line 267.jpg,
267,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,,
344,Weekday schedules have been updated.,Improved reliability,,
460,Sunday schedules have been updated.,Improved reliability,,
501,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,,
550,"Schedule changes to Line 550 to improve connections with Lines 205, 246.",Improved connections,,
665,"Line 665 extended north from Cal State LA to Rose Hill Transit Center via Eastern Av, with expanded hours of service.",Align with ridership levels,Line 665.jpg,
665,Line 665 will establish a new southern terminus at the market at Calada St/Olympic Bl,Align with ridership levels,,
720,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,,
761,Weekday schedules have been updated.,Improved reliability,,
854,The L Line Shuttle between LA Union Station and Pico Aliso Station will cease operation.,Regional Connector opens,,
901,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,,
910,Additional Line 910 trip added early AM Saturday and Sunday northbound from Harbor Gateway Transit Center to El Monte Station,Improved connections with Line 246,,
910,"Minor weekday, Saturday, and Sunday frequency changes, please check schedule.",Align with ridership levels,,
