line,order
2,1
4,2
10,3
14,4
16,5
18,6
20,7
28,8
30,9
33,10
35,11
37,12
38,13
40,14
45,15
48,16
51,17
53,18
55,19
60,20
62,21
66,22
70,23
76,24
78,25
81,26
90,27
92,28
94,29
96,30
102,31
105,32
106,33
108,34
110,35
111,36
115,37
117,38
120,39
125,40
127,41
128,42
150,43
152,44
154,45
155,46
158,47
161,48
162,49
164,50
165,51
166,52
167,53
169,54
177,55
179,56
180,57
182,58
202,59
204,60
205,61
206,62
207,63
209,64
210,65
211,66
212,67
215,68
217,69
218,70
222,71
224,72
230,73
232,74
233,75
234,76
236,77
237,78
240,79
242,80
243,81
244,82
246,83
251,84
256,85
258,86
260,87
265,88
266,89
267,90
268,91
287,92
294,93
344,94
460,95
487,96
501,97
534,98
550,99
577,100
601,101
602,102
603,103
605,104
611,105
617,106
660,107
662,108
665,109
686,110
690,111
720,112
754,113
761,114
857,115
901,116
910,117
950,118
